Date,DutchRetailSales
1960-01-01,8.74123582230055
1960-04-01,9.96500883742262
1960-07-01,9.83389030008812
1960-10-01,10.9265447778757
1961-01-01,9.83389030008812
1961-04-01,10.6643077032067
1961-07-01,10.6643077032067
1961-10-01,11.7569621809942
1962-01-01,10.4457768076492
1962-04-01,11.7132560018827
1962-07-01,11.5384312854367
1962-10-01,13.0244413752278
1963-01-01,11.7569621809942
1963-04-01,12.9370290170048
1963-07-01,12.8496166587818
1963-10-01,14.9038070770224
1964-01-01,13.4177969872313
1964-04-01,14.4230391067959
1964-07-01,14.4230391067959
1964-10-01,16.695760420594
1965-01-01,14.4230391067959
1965-04-01,16.083873913033
1965-07-01,15.99646155481
1965-10-01,19.2307188090612
1966-01-01,15.297162689026
1966-04-01,17.5698840028241
1966-07-01,17.0454098534861
1966-10-01,19.3618373463957
1967-01-01,16.783172778817
1967-04-01,18.3565952268312
1967-07-01,17.9632396148276
1967-10-01,20.4544918241833
1968-01-01,18.0069457939391
1968-04-01,19.4929558837302
1968-07-01,18.8810693761692
1968-10-01,22.8146254962044
1969-01-01,19.4055435255072
1969-04-01,22.2464451677549
1969-07-01,21.2412030481903
1969-10-01,25.0873468100026
1970-01-01,22.0338244566849
1970-04-01,24.2619640084845
1970-07-01,23.7668218858624
1970-10-01,28.8007667991874
1971-01-01,23.8493455729661
1971-04-01,27.2328167442173
1971-07-01,26.242532498973
1971-10-01,31.276477412298
1972-01-01,27.3570877083264
1972-04-01,29.908525940191
1972-07-01,29.1997930980064
1972-10-01,34.0191764248618
1973-01-01,30.4755122139387
1973-04-01,33.8774298564249
1973-07-01,32.1764710351818
1973-10-01,38.6968131832803
1974-01-01,33.4521901511141
1974-04-01,37.9880803410957
1974-07-01,37.2793474989111
1974-10-01,42.6657170995142
1975-01-01,37.9880803410957
1975-04-01,42.2404773942034
1975-07-01,41.106504846708
1975-10-01,48.9025661107389
1976-01-01,42.0987308257665
1976-04-01,47.6268469948066
1976-07-01,46.776367584185
1976-10-01,52.1627371847881
1977-01-01,47.0598607210589
1977-04-01,53.0132165954097
1977-07-01,51.1705112057297
1977-10-01,55.7064013957112
1978-01-01,53.0132165954097
1978-04-01,56.6986273747697
1978-07-01,54.0054425744682
1978-10-01,57.8325999222651
1979-01-01,54.7630785880008
1979-04-01,58.8556930020507
1979-07-01,53.9835329853246
1979-10-01,60.609670608072
1980-01-01,57.6863745980364
1980-04-01,59.8301250053959
1980-07-01,55.737510591346
1980-10-01,60.609670608072
1981-01-01,56.9068289953602
1981-04-01,60.219897806734
1981-07-01,55.932396992015
1981-10-01,60.609670608072
1982-01-01,56.7119425946912
1982-04-01,60.9994434094102
1982-07-01,57.1017153960293
1982-10-01,65.09205782346
1983-01-01,55.542624190677
1983-04-01,60.0250114060649
1983-07-01,58.6608066013816
1983-10-01,64.1176258201148
1984-01-01,55.737510591346
1984-04-01,60.219897806734
1984-07-01,58.0761473993745
1984-10-01,64.702285022122
1985-01-01,53.2313258359006
1985-04-01,60.5131067147135
1985-07-01,58.1322631718395
1985-10-01,67.2588300861897
1986-01-01,55.5530160003927
1986-04-01,60.9099139718592
1986-07-01,59.7194922004222
1986-10-01,65.6716010576071
1987-01-01,56.7434377718297
1987-04-01,63.489161143306
1987-07-01,61.108317600432
1987-10-01,68.2508482290539
1988-01-01,57.537052286121
1988-04-01,63.0923538861603
1988-07-01,61.9019321147233
1988-10-01,69.0444627433452
1989-01-01,59.5210885718493
1989-04-01,66.4652155718984
1989-07-01,65.0763901718886
1989-10-01,72.2189208005105
1990-01-01,63.6875647718788
1990-04-01,71.0284990290735
1990-07-01,68.8460591147724
1990-10-01,77.1790115148313
1991-01-01,67.4090590317864
1991-04-01,73.7286583160164
1991-07-01,71.8561844540223
1991-10-01,80.0482576002464
1992-01-01,69.2815328937805
1992-04-01,76.069250643509
1992-07-01,74.1967767815149
1992-10-01,81.6866722294912
1993-01-01,68.7643029156651
1993-04-01,77.6453014472086
1993-07-01,76.3765873712738
1993-10-01,81.9589293053868
1994-01-01,70.0222329219545
1994-04-01,78.2299671838686
1994-07-01,76.4345253140748
1994-10-01,83.10330940188
1995-01-01,70.5352163133241
1995-04-01,79.5124256622926
1995-07-01,77.7169837924989
1995-10-01,82.8468177061952
1996-01-01,72.5846688733837
1996-04-01,82.5566165789536
1996-07-01,80.053342223704
1996-10-01,86.7024504084014
1997-01-01,75.862929535875
1997-04-01,86.1503583930655
1997-07-01,83.9899983330555
1997-10-01,92.5079894268092
1998-01-01,78.4930821803634
1998-04-01,89.8332579239397
1998-07-01,87.1791012787846
1998-10-01,95.3850403638702
1999-01-01,82.662920010478
1999-04-01,94.6203414854857
1999-07-01,91.5855499726145
1999-10-01,100.905960517229
2000-01-01,81.7469578263044
2000-04-01,92.1486914485748
2000-07-01,90.1150191698617
2000-10-01,98.449741623604
2001-01-01,87.3812302050342
2001-04-01,98.3163860643441
2001-07-01,94.6824470745124
2001-10-01,104.250708451409
2002-01-01,90.4484080680114
2002-04-01,100.983497249542
2002-07-01,97.7496249374896
2002-10-01,106.117686281047
2003-01-01,91.6152692115353
2003-04-01,99.0831805300884
2003-07-01,94.2823803967328
2003-10-01,101.983663943991
2004-01-01,89.0148358059677
2004-04-01,97.7162860476746
2004-07-01,93.0821803633939
2004-10-01,100.250041673612
2005-01-01,86.6811135189198
2005-04-01,96.3493915652609
2005-07-01,94.4824137356226
2005-10-01,103.850641773629
2006-01-01,91.2485414235706
2006-04-01,103.617269544924
2006-07-01,99.3165527587931
2006-10-01,106.851141856976
2007-01-01,95.8159693282214
2007-04-01,107.351225204201
2007-07-01,101.950325054176
2007-10-01,111.618603100517
2008-01-01,99.3498916486081
2008-04-01,110.518419736623
2008-07-01,105.217536256043
2008-10-01,112.818803133856
2009-01-01,94.8491415235873
2009-04-01,104.684114019003
2009-07-01,99.1831971995333
2009-10-01,107.68461410235
2010-01-01,93.1821970328388
2010-04-01,104.017336222704
2010-07-01,100.450075012502
2010-10-01,108.451408568095
2011-01-01,94.4824137356226
2011-04-01,105.150858476413
2011-07-01,100.450075012502
2011-10-01,108.41806967828
2012-01-01,95.6492748791466
2012-04-01,102.950491748625
2012-07-01,99.0498416402734
2012-10-01,104.950825137523
2013-01-01,91.5485914319054
2013-04-01,100.250041673612
2013-07-01,96.5160860143357
2013-10-01,103.350558426404
2014-01-01,91.4485747624604
2014-04-01,101.016836139357
2014-07-01,96.5160860143357
2014-10-01,104.984164027338
2015-01-01,92.0153358893149
2015-04-01,102.65044174029
2015-07-01,98.7497916319387
2015-10-01,106.584430738456
2016-01-01,93.8823137189532
2016-04-01,103.550591765294
2016-07-01,100.216702783797
2016-10-01,110.985164194032
2017-01-01,97.316219369895
2017-04-01,108.21803633939
2017-07-01,105.117519586598
2017-10-01,113.91898649775
2018-01-01,101.216869478246
2018-04-01,112.818803133856
2018-07-01,108.251375229205
2018-10-01,118.4864144024
2019-01-01,103.750625104184
2019-04-01,115.985997666278
2019-07-01,111.818636439407
2019-10-01,122.753792298716
2020-01-01,107.551258543091
2020-04-01,119.586597766294
2020-07-01,120.253375562594
2020-10-01,125.920986831139
2021-01-01,105.117519586598
2021-04-01,130.788464744124
2021-07-01,125.287547924654
2021-10-01,135.622603767295
2022-01-01,120.920153358893
2022-04-01,138.189698283047
2022-07-01,132.522087014502
2022-10-01,146.45774295716
2023-01-01,130.121686947825
2023-04-01,144.857476246041
2023-07-01,137.122853808968
